epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,439.307,1.13684,0.41731,0.06745,0.71219,0.89135,0.96573,0.96598,0.9844,0.70688,0.96444,0.9637,0.98354,0.95692,1.03224,0.21871,0.02005,0.58912,0.83017,0.008779,0.008779,0.008779
39,448.795,1.13329,0.42223,0.06608,0.69325,0.89598,0.93922,0.95137,0.97844,0.70177,0.93821,0.95086,0.97726,0.94674,1.0233,0.22377,0.02098,0.60047,0.83154,0.008746,0.008746,0.008746
40,458.004,1.13729,0.41706,0.06612,0.69783,0.8904,0.95529,0.96119,0.97982,0.70381,0.95628,0.961,0.982,0.95374,1.0089,0.22206,0.01883,0.56078,0.8294,0.008713,0.008713,0.008713
41,466.245,1.11815,0.42773,0.06305,0.69337,0.88717,0.93779,0.94109,0.97093,0.67719,0.93733,0.94102,0.97059,0.94101,1.1028,0.21241,0.0193,0.61706,0.83856,0.00868,0.00868,0.00868
42,475.034,1.11988,0.4003,0.06302,0.69893,0.88722,0.92176,0.92565,0.96471,0.67975,0.9216,0.9266,0.96659,0.9339,1.11261,0.2386,0.01965,0.6727,0.84444,0.008647,0.008647,0.008647
43,488.828,1.11807,0.42212,0.06103,0.68967,0.88635,0.92561,0.93156,0.96733,0.68976,0.92669,0.93186,0.97007,0.93835,1.02575,0.2184,0.01662,0.6514,0.83286,0.008614,0.008614,0.008614
44,499.511,1.1274,0.41589,0.05877,0.69277,0.88911,0.871,0.8793,0.9304,0.60778,0.87401,0.87954,0.93263,0.88419,1.32131,0.35266,0.01857,0.85357,0.86549,0.008581,0.008581,0.008581
45,510.626,1.11338,0.39491,0.05726,0.67982,0.88823,0.9629,0.96505,0.98318,0.71246,0.9618,0.9651,0.98309,0.95643,0.99391,0.21614,0.016,0.55381,0.82775,0.008548,0.008548,0.008548
46,521.392,1.10501,0.38289,0.05083,0.66936,0.8841,0.92544,0.95313,0.97024,0.69612,0.92416,0.95199,0.97053,0.94239,1.0177,0.21271,0.01488,0.68112,0.83089,0.008515,0.008515,0.008515
47,531.382,1.10631,0.4087,0.05774,0.66959,0.8884,0.95209,0.96445,0.98292,0.69392,0.95105,0.96346,0.98093,0.95395,1.06214,0.2157,0.01644,0.58814,0.83721,0.008482,0.008482,0.008482
48,543.231,1.11414,0.39906,0.05764,0.66971,0.88856,0.94911,0.96626,0.98229,0.71687,0.94931,0.9643,0.98332,0.95914,0.98003,0.19722,0.01603,0.5785,0.8275,0.008449,0.008449,0.008449
49,553.188,1.08964,0.36559,0.05336,0.68463,0.8841,0.90147,0.92598,0.95748,0.69754,0.89856,0.92462,0.95538,0.9343,0.97948,0.18959,0.01435,0.69072,0.82508,0.008416,0.008416,0.008416
50,562.89,1.10119,0.40183,0.05265,0.66477,0.8845,0.96168,0.9605,0.98391,0.71473,0.95961,0.96011,0.98439,0.95819,0.99066,0.21859,0.01436,0.60249,0.82859,0.008383,0.008383,0.008383
51,570.51,1.11974,0.41103,0.05736,0.66328,0.88997,0.90353,0.91949,0.94679,0.69498,0.90445,0.92033,0.94792,0.92578,0.97635,0.18435,0.01449,0.60485,0.8268,0.00835,0.00835,0.00835
52,581.563,1.09393,0.3779,0.05017,0.67495,0.88424,0.94544,0.95331,0.97441,0.70801,0.94194,0.95318,0.97356,0.94989,0.96686,0.18603,0.01251,0.56413,0.82664,0.008317,0.008317,0.008317
53,591.98,1.09938,0.40004,0.05136,0.64401,0.88385,0.95803,0.96149,0.97994,0.71751,0.95721,0.96066,0.98001,0.95749,1.00198,0.21441,0.01362,0.55552,0.82805,0.008284,0.008284,0.008284
54,602.688,1.1049,0.38915,0.05338,0.65009,0.88565,0.96471,0.96742,0.98265,0.71472,0.96358,0.96689,0.98135,0.95764,0.96939,0.19212,0.013,0.52533,0.82915,0.008251,0.008251,0.008251
55,614.516,1.09415,0.38253,0.05309,0.64003,0.8844,0.95999,0.96669,0.98348,0.70836,0.96008,0.96669,0.98375,0.96129,1.02976,0.19423,0.01327,0.55848,0.82786,0.008218,0.008218,0.008218
56,624.623,1.07377,0.37657,0.04917,0.62932,0.8793,0.90973,0.96015,0.96851,0.69829,0.91007,0.95902,0.96873,0.94138,1.018,0.20099,0.01365,0.55521,0.82933,0.008185,0.008185,0.008185
